number,value,datetime_start,datetime_complete,duration,params_ideas_per_cluster,params_n_clusters,params_pop_size,params_remove_rate,state
0,11039.225382123046,2025-06-11 22:56:49.955038,2025-06-11 22:57:05.614412,0 days 00:00:15.659374,2,6,30,0.15000000000000002,COMPLETE
1,10744.880906708175,2025-06-11 22:57:05.614865,2025-06-11 22:57:59.261616,0 days 00:00:53.646751,1,6,30,0.6,COMPLETE
2,10744.880906708175,2025-06-11 22:57:59.262164,2025-06-11 22:58:27.008809,0 days 00:00:27.746645,4,3,20,0.35,COMPLETE
3,11009.46368484265,2025-06-11 22:58:27.009630,2025-06-11 22:58:54.188502,0 days 00:00:27.178872,3,2,50,0.30000000000000004,COMPLETE
4,11616.615095740824,2025-06-11 22:58:54.189002,2025-06-11 22:58:57.092895,0 days 00:00:02.903893,6,5,30,0.1,COMPLETE
5,10744.880906708175,2025-06-11 22:58:57.093302,2025-06-11 22:59:11.155809,0 days 00:00:14.062507,10,8,20,0.5,COMPLETE
6,10744.880906708175,2025-06-11 22:59:11.156242,2025-06-11 22:59:36.780559,0 days 00:00:25.624317,2,5,50,0.35,COMPLETE
7,10744.880906708175,2025-06-11 22:59:36.781025,2025-06-11 22:59:43.467682,0 days 00:00:06.686657,4,6,30,0.35,COMPLETE
8,10744.880906708175,2025-06-11 22:59:43.468215,2025-06-11 23:00:18.837610,0 days 00:00:35.369395,10,7,50,0.55,COMPLETE
9,11035.458969719059,2025-06-11 23:00:18.838250,2025-06-11 23:00:24.209842,0 days 00:00:05.371592,1,3,30,0.25,COMPLETE
10,10744.880906708175,2025-06-11 23:00:24.210806,2025-06-11 23:00:44.513284,0 days 00:00:20.302478,7,8,30,0.6,COMPLETE
11,10744.880906708175,2025-06-11 23:00:44.513710,2025-06-11 23:00:59.970633,0 days 00:00:15.456923,4,4,20,0.45000000000000007,COMPLETE
12,10744.880906708175,2025-06-11 23:00:59.971092,2025-06-11 23:01:22.054406,0 days 00:00:22.083314,7,2,20,0.45000000000000007,COMPLETE
13,11035.458969719059,2025-06-11 23:01:22.054951,2025-06-11 23:01:25.002425,0 days 00:00:02.947474,1,4,20,0.2,COMPLETE
14,10744.880906708175,2025-06-11 23:01:25.002931,2025-06-11 23:01:31.958606,0 days 00:00:06.955675,5,4,20,0.4,COMPLETE
15,10744.880906708175,2025-06-11 23:01:31.959253,2025-06-11 23:02:02.969381,0 days 00:00:31.010128,3,6,30,0.6,COMPLETE
16,10744.880906708175,2025-06-11 23:02:02.969824,2025-06-11 23:02:09.040576,0 days 00:00:06.070752,8,3,20,0.30000000000000004,COMPLETE
17,10744.880906708175,2025-06-11 23:02:09.041198,2025-06-11 23:02:16.617364,0 days 00:00:07.576166,5,7,20,0.5,COMPLETE
18,10744.880906708175,2025-06-11 23:02:16.617802,2025-06-11 23:02:31.912326,0 days 00:00:15.294524,3,3,30,0.4,COMPLETE
19,11080.530584286345,2025-06-11 23:02:31.912755,2025-06-11 23:02:33.455701,0 days 00:00:01.542946,1,7,50,0.25,COMPLETE
20,10744.880906708175,2025-06-11 23:02:33.456182,2025-06-11 23:02:43.009318,0 days 00:00:09.553136,4,5,30,0.5,COMPLETE
21,10744.880906708175,2025-06-11 23:02:43.009973,2025-06-11 23:02:48.940136,0 days 00:00:05.930163,10,8,20,0.55,COMPLETE
22,10744.880906708175,2025-06-11 23:02:48.940515,2025-06-11 23:02:56.237138,0 days 00:00:07.296623,9,8,20,0.55,COMPLETE
23,10744.880906708175,2025-06-11 23:02:56.237643,2025-06-11 23:03:04.173669,0 days 00:00:07.936026,6,7,20,0.6,COMPLETE
24,10744.880906708175,2025-06-11 23:03:04.174243,2025-06-11 23:03:14.040089,0 days 00:00:09.865846,8,6,20,0.5,COMPLETE
25,10744.880906708175,2025-06-11 23:03:14.040520,2025-06-11 23:03:22.166798,0 days 00:00:08.126278,2,5,20,0.45000000000000007,COMPLETE
26,10744.880906708175,2025-06-11 23:03:22.167233,2025-06-11 23:03:26.489206,0 days 00:00:04.321973,7,8,20,0.4,COMPLETE
27,10744.880906708175,2025-06-11 23:03:26.489818,2025-06-11 23:03:36.922352,0 days 00:00:10.432534,5,4,20,0.55,COMPLETE
28,10744.880906708175,2025-06-11 23:03:36.922872,2025-06-11 23:03:41.005770,0 days 00:00:04.082898,8,7,50,0.35,COMPLETE
29,10744.880906708175,2025-06-11 23:03:41.006434,2025-06-11 23:03:46.760200,0 days 00:00:05.753766,9,6,30,0.5,COMPLETE
30,10744.880906708175,2025-06-11 23:03:46.760644,2025-06-11 23:04:14.197691,0 days 00:00:27.437047,2,2,30,0.6,COMPLETE
