number,value,datetime_start,datetime_complete,duration,params_crossover_rate,params_elite_count,params_mutation_rate,params_pop_size,params_tournament_size,state
0,6950.199033865487,2025-06-11 00:57:04.088075,2025-06-11 00:57:38.246533,0 days 00:00:34.158458,0.5,14,0.01,100,3,COMPLETE
1,6865.219109897221,2025-06-11 00:57:38.247009,2025-06-11 00:57:48.464070,0 days 00:00:10.217061,0.6,12,0.01,400,9,COMPLETE
2,7265.858271869685,2025-06-11 00:57:48.464418,2025-06-11 00:57:58.596989,0 days 00:00:10.132571,0.5,7,0.01,100,7,COMPLETE
3,6876.355665770413,2025-06-11 00:57:58.597455,2025-06-11 00:58:07.539316,0 days 00:00:08.941861,0.5,4,0.11,100,7,COMPLETE
4,6723.073356371587,2025-06-11 00:58:07.539718,2025-06-11 00:58:16.976555,0 days 00:00:09.436837,0.5,14,0.11,200,4,COMPLETE
5,6997.2287370201475,2025-06-11 00:58:16.976977,2025-06-11 00:58:25.975196,0 days 00:00:08.998219,0.8,32,0.01,400,4,COMPLETE
6,6970.460396599888,2025-06-11 00:58:25.975593,2025-06-11 00:58:36.368430,0 days 00:00:10.392837,1.0,28,0.11,200,10,COMPLETE
7,6698.678582839207,2025-06-11 00:58:36.368796,2025-06-11 00:58:46.287465,0 days 00:00:09.918669,0.6,23,0.11,400,5,COMPLETE
8,6885.087914663076,2025-06-11 00:58:46.287832,2025-06-11 00:58:56.105192,0 days 00:00:09.817360,1.0,13,0.11,400,2,COMPLETE
9,7420.226810990042,2025-06-11 00:58:56.105680,2025-06-11 00:59:06.073315,0 days 00:00:09.967635,0.5,3,0.01,100,8,COMPLETE
10,6977.553518252132,2025-06-11 00:59:06.073655,2025-06-11 00:59:16.180184,0 days 00:00:10.106529,0.7,6,0.11,50,5,COMPLETE
11,6875.287918449622,2025-06-11 00:59:16.180701,2025-06-11 00:59:26.081199,0 days 00:00:09.900498,0.7,22,0.11,200,5,COMPLETE
12,6871.1958989781515,2025-06-11 00:59:26.081559,2025-06-11 00:59:35.220290,0 days 00:00:09.138731,0.6,23,0.11,200,5,COMPLETE
13,6861.811262592004,2025-06-11 00:59:35.220663,2025-06-11 00:59:44.694196,0 days 00:00:09.473533,0.6,2,0.11,50,3,COMPLETE
14,6843.069462190974,2025-06-11 00:59:44.694545,2025-06-11 00:59:54.169362,0 days 00:00:09.474817,0.8,20,0.11,200,6,COMPLETE
15,6861.297166773147,2025-06-11 00:59:54.169685,2025-06-11 01:00:04.115757,0 days 00:00:09.946072,0.6,48,0.11,400,4,COMPLETE
16,6772.235950228365,2025-06-11 01:00:04.116183,2025-06-11 01:00:13.566201,0 days 00:00:09.450018,0.7,42,0.11,400,2,COMPLETE
17,6772.287556706423,2025-06-11 01:00:13.566575,2025-06-11 01:00:23.773943,0 days 00:00:10.207368,0.9,19,0.11,200,6,COMPLETE
18,6782.1468393242785,2025-06-11 01:00:23.774299,2025-06-11 01:00:33.767685,0 days 00:00:09.993386,0.6,5,0.11,50,4,COMPLETE
19,6775.711232637962,2025-06-11 01:00:33.768225,2025-06-11 01:00:43.510653,0 days 00:00:09.742428,0.5,9,0.11,200,3,COMPLETE
20,6821.387464278106,2025-06-11 01:00:43.511124,2025-06-11 01:00:53.001210,0 days 00:00:09.490086,0.7,35,0.01,400,7,COMPLETE
21,6670.17959421829,2025-06-11 01:00:53.001605,2025-06-11 01:01:02.784034,0 days 00:00:09.782429,0.7,42,0.11,400,2,COMPLETE
22,6752.025968340003,2025-06-11 01:01:02.784478,2025-06-11 01:01:12.254174,0 days 00:00:09.469696,0.8,53,0.11,400,2,COMPLETE
23,6831.725150919437,2025-06-11 01:01:12.254498,2025-06-11 01:01:21.848992,0 days 00:00:09.594494,0.6,39,0.11,400,4,COMPLETE
24,6648.752879415624,2025-06-11 01:01:21.849344,2025-06-11 01:01:31.729072,0 days 00:00:09.879728,0.7,28,0.11,400,3,COMPLETE
25,6790.976709552949,2025-06-11 01:01:31.729403,2025-06-11 01:01:41.320728,0 days 00:00:09.591325,0.7,27,0.11,400,3,COMPLETE
26,6647.226204743453,2025-06-11 01:01:41.321174,2025-06-11 01:01:50.911243,0 days 00:00:09.590069,0.9,60,0.11,400,2,COMPLETE
27,6744.037499205068,2025-06-11 01:01:50.911598,2025-06-11 01:02:00.505013,0 days 00:00:09.593415,0.9,60,0.11,400,2,COMPLETE
28,6772.72012202708,2025-06-11 01:02:00.505449,2025-06-11 01:02:10.241603,0 days 00:00:09.736154,0.9,60,0.11,400,2,COMPLETE
29,6864.164727786095,2025-06-11 01:02:10.241969,2025-06-11 01:02:19.690241,0 days 00:00:09.448272,0.8,47,0.01,400,3,COMPLETE
30,6614.794652432877,2025-06-11 01:02:19.690565,2025-06-11 01:02:29.478032,0 days 00:00:09.787467,0.9,54,0.11,400,3,COMPLETE
31,6649.766507737576,2025-06-11 01:02:29.478443,2025-06-11 01:02:39.267488,0 days 00:00:09.789045,0.9,54,0.11,400,3,COMPLETE
32,6659.701561743791,2025-06-11 01:02:39.267953,2025-06-11 01:02:48.919464,0 days 00:00:09.651511,0.9,54,0.11,400,3,COMPLETE
33,6649.675475343935,2025-06-11 01:02:48.919823,2025-06-11 01:02:58.840609,0 days 00:00:09.920786,1.0,55,0.11,400,3,COMPLETE
34,6922.465181935608,2025-06-11 01:02:58.840944,2025-06-11 01:03:09.435531,0 days 00:00:10.594587,1.0,9,0.11,100,3,COMPLETE
