 init_node  term_node     length_m  free_flow_t  speed_kph  speed_mph   speed_mph_rnd
         1          2      4826.97         6.00      48.27      29.99              30 
         1          3      4443.95         4.00      66.66      41.42              40 
         2          1      4826.97         6.00      48.27      29.99              30 
         2          6      2027.05         5.00      24.32      15.11              15 
         3          1      4443.95         4.00      66.66      41.42              40 
         3          4      2417.34         4.00      36.26      22.53              25 
         3         12      3260.98         4.00      48.91      30.39              30 
         4          3      2417.34         4.00      36.26      22.53              25 
         4          5      1256.57         2.00      37.70      23.42              25 
         4         11      2171.01         6.00      21.71      13.49              15 
         5          4      1256.57         2.00      37.70      23.42              25 
         5          6      3071.09         4.00      46.07      28.62              30 
         5          9      1716.74         5.00      20.60      12.80              15 
         6          2      2027.05         5.00      24.32      15.11              15 
         6          5      3071.09         4.00      46.07      28.62              30 
         6          8      2809.06         2.00      84.27      52.36              50 
         7          8      1455.66         3.00      29.11      18.09              20 
         7         18      1902.16         2.00      57.06      35.46              35 
         8          6      2809.06         2.00      84.27      52.36              50 
         8          7      1455.66         3.00      29.11      18.09              20 
         8          9      2210.49        10.00      13.26       8.24              10 
         8         16      1732.44         5.00      20.79      12.92              15 
         9          5      1716.74         5.00      20.60      12.80              15 
         9          8      2210.49        10.00      13.26       8.24              10 
         9         10       370.11         3.00       7.40       4.60               5 
        10          9       370.11         3.00       7.40       4.60               5 
        10         11      1246.49         5.00      14.96       9.29              10 
        10         15      1764.64         6.00      17.65      10.96              10 
        10         16      1622.96         4.00      24.34      15.13              15 
        10         17      1674.54         8.00      12.56       7.80              10 
        11          4      2171.01         6.00      21.71      13.49              15 
        11         10      1246.49         5.00      14.96       9.29              10 
        11         12      2680.65         6.00      26.81      16.66              15 
        11         14      1682.65         4.00      25.24      15.68              15 
        12          3      3260.98         4.00      48.91      30.39              30 
        12         11      2680.65         6.00      26.81      16.66              15 
        12         13      6014.49         3.00     120.29      74.74              75 
        13         12      6014.49         3.00     120.29      74.74              75 
        13         24      3816.72         4.00      57.25      35.57              35 
        14         11      1682.65         4.00      25.24      15.68              15 
        14         15      1572.49         5.00      18.87      11.73              10 
        14         23      1606.57         4.00      24.10      14.97              15 
        15         10      1764.64         6.00      17.65      10.96              10 
        15         14      1572.49         5.00      18.87      11.73              10 
        15         19      1625.36         3.00      32.51      20.20              20 
        15         22      1617.24         3.00      32.34      20.10              20 
        16          8      1732.44         5.00      20.79      12.92              15 
        16         10      1622.96         4.00      24.34      15.13              15 
        16         17       607.52         2.00      18.23      11.32              10 
        16         18      1393.05         3.00      27.86      17.31              15 
        17         10      1674.54         8.00      12.56       7.80              10 
        17         16       607.52         2.00      18.23      11.32              10 
        17         19      1299.75         2.00      38.99      24.23              25 
        18          7      1902.16         2.00      57.06      35.46              35 
        18         16      1393.05         3.00      27.86      17.31              15 
        18         20      3754.37         4.00      56.32      34.99              35 
        19         15      1625.36         3.00      32.51      20.20              20 
        19         17      1299.75         2.00      38.99      24.23              25 
        19         20      1585.42         4.00      23.78      14.78              15 
        20         18      3754.37         4.00      56.32      34.99              35 
        20         19      1585.42         4.00      23.78      14.78              15 
        20         21      1682.29         6.00      16.82      10.45              10 
        20         22      1615.54         5.00      19.39      12.05              10 
        21         20      1682.29         6.00      16.82      10.45              10 
        21         22       486.72         2.00      14.60       9.07              10 
        21         24      1677.66         3.00      33.55      20.85              20 
        22         15      1617.24         3.00      32.34      20.10              20 
        22         20      1615.54         5.00      19.39      12.05              10 
        22         21       486.72         2.00      14.60       9.07              10 
        22         23      1583.01         4.00      23.75      14.75              15 
        23         14      1606.57         4.00      24.10      14.97              15 
        23         22      1583.01         4.00      23.75      14.75              15 
        23         24      1307.53         2.00      39.23      24.37              25 
        24         13      3816.72         4.00      57.25      35.57              35 
        24         21      1677.66         3.00      33.55      20.85              20 
        24         23      1307.53         2.00      39.23      24.37              25 
